ID	NAME	TRADEDATE	OPEN	HIGH	LOW	CLOSE	VALUE	DURATION	YIELD
IMOEX	MOEX Russia Index	2022-09-14	2439,96	2439,96	2400,14	2435,89	34390158477,8	0	0
IMOEX	MOEX Russia Index	2022-09-15	2434,79	2457,02	2418,3	2446,59	35982254564,4	0	0
IMOEX	MOEX Russia Index	2022-09-16	2446,09	2469,02	2427,68	2435,18	39556443400,3	0	0
IMOEX	MOEX Russia Index	2022-09-19	2436,48	2453,03	2427,19	2430,54	26089124163,1	0	0
IMOEX	MOEX Russia Index	2022-09-20	2430,53	2436,3	2171,92	2215,67	128647576445,4	0	0
IMOEX	MOEX Russia Index	2022-09-21	2052,89	2186,43	2002,73	2130,71	79143617866,05	0	0
IMOEX	MOEX Russia Index	2022-09-22	2138,39	2216,85	2138,39	2190,87	69447770288,8	0	0
IMOEX	MOEX Russia Index	2022-09-23	2192,11	2192,68	2071,37	2089,87	56633145265,45	0	0
IMOEX	MOEX Russia Index	2022-09-26	2054,56	2054,56	1841,42	1933,35	85669841859,2	0	0
IMOEX	MOEX Russia Index	2022-09-27	1930,58	1975,32	1904,24	1953,46	52656113619,5	0	0
IMOEX	MOEX Russia Index	2022-09-28	1978,89	2018,99	1948,25	1963,86	49270453422,3	0	0
IMOEX	MOEX Russia Index	2022-09-29	1998,24	2005,8	1917,62	1953,77	42281651650,9	0	0
IMOEX	MOEX Russia Index	2022-09-30	1977,75	2005,21	1872,95	1957,31	100124286989,9	0	0
IMOEX	MOEX Russia Index	2022-10-03	1991,88	2047,54	1972,43	2041,96	44257545026,7	0	0
IMOEX	MOEX Russia Index	2022-10-04	2071,19	2079,67	2016,59	2046,42	46366353260,7	0	0
IMOEX	MOEX Russia Index	2022-10-05	2041,5	2045,62	1971,91	2029,88	53461971146,1	0	0
IMOEX	MOEX Russia Index	2022-10-06	2027,3	2053,86	2015,09	2020,63	35091173555,05	0	0
IMOEX	MOEX Russia Index	2022-10-07	2012,95	2012,95	1939,54	1944,75	41355184462,6	0	0
IMOEX	MOEX Russia Index	2022-10-10	1783,66	1917,91	1775,04	1916,97	56385754466,1	0	0
IMOEX	MOEX Russia Index	2022-10-11	1928,74	1952,8	1909,11	1949,46	31814724761,25	0	0
IMOEX	MOEX Russia Index	2022-10-12	1965,39	1974,59	1937,93	1951,65	27544147227,5	0	0
IMOEX	MOEX Russia Index	2022-10-13	1950,24	1975,84	1941,18	1955,2	25239455241,2	0	0
IMOEX	MOEX Russia Index	2022-10-14	1963,38	1965,77	1933,29	1950,98	23793882193,25	0	0
IMOEX	MOEX Russia Index	2022-10-17	1958,18	2013,61	1955,7	2012,85	32246002624,9	0	0
IMOEX	MOEX Russia Index	2022-10-18	2031,56	2039,67	1999,38	2032,4	33771126653,65	0	0
IMOEX	MOEX Russia Index	2022-10-19	1986,67	2006,06	1953,74	1978,4	35837150710,55	0	0
IMOEX	MOEX Russia Index	2022-10-20	1998,74	2032,58	1991,09	2025,51	35871004460,3	0	0
IMOEX	MOEX Russia Index	2022-10-21	2026,44	2049	2000,68	2043,71	35187924135,05	0	0
IMOEX	MOEX Russia Index	2022-10-24	2070,36	2088,31	2048,37	2063,95	32652624967,05	0	0
IMOEX	MOEX Russia Index	2022-10-25	2066,28	2130,65	2058,09	2130,65	42887815544,05	0	0
IMOEX	MOEX Russia Index	2022-10-26	2131,18	2144,56	2093,12	2120,58	42015203006,9	0	0
IMOEX	MOEX Russia Index	2022-10-27	2133,81	2164,64	2123,57	2164,64	41008408450,6	0	0
IMOEX	MOEX Russia Index	2022-10-28	2154,28	2171,88	2130,75	2167,7	43444621093,25	0	0
IMOEX	MOEX Russia Index	2022-10-31	2173	2184,38	2155,75	2166,61	31288260044,75	0	0
IMOEX	MOEX Russia Index	2022-11-01	2179,15	2185,6	2161,18	2174,35	21732654118,25	0	0
IMOEX	MOEX Russia Index	2022-11-02	2178,25	2184,89	2160,56	2173,84	22031567419,25	0	0
IMOEX	MOEX Russia Index	2022-11-03	2145,54	2156,78	2123,32	2155,92	25792024221,25	0	0
